horario,tempo_viagem_min,distancia_km,imagem,emocao,tempo_sem_parada_min,decisao,origem
17.5,249.0,213.74,restaurante,desconhecido,249.0,descansar,sintetico
7.64,362.5,267.81,restaurante,cansado,122.0,fazer_parada,sintetico
20.18,594.7,855.54,desconhecida,desconhecido,226.1,abastecer,sintetico
7.13,185.6,118.62,restaurante,neutro,149.4,fazer_parada,sintetico
3.67,239.4,172.75,desconhecida,cansado,180.9,descansar,sintetico
18.23,74.0,54.85,ponto_turistico,animado,74.0,registrar_ponto_turistico,sintetico
10.09,31.3,29.61,estrada,desconhecido,25.2,continuar,sintetico
19.08,488.4,633.04,restaurante,desconhecido,328.0,abastecer,sintetico
7.65,445.6,470.53,desconhecida,neutro,359.8,abastecer,sintetico
6.86,63.7,95.98,ponto_turistico,animado,54.9,registrar_ponto_turistico,sintetico
8.63,104.4,160.85,desconhecida,bravo,58.0,fazer_parada,sintetico
16.53,324.7,228.32,desconhecida,neutro,79.9,continuar,sintetico
21.87,598.6,393.03,restaurante,tenso,598.6,fazer_parada,sintetico
18.2,32.1,22.18,ponto_turistico,cansado,8.7,continuar,sintetico
20.19,7.3,4.79,posto,desconhecido,6.6,continuar,sintetico
9.01,573.3,470.13,desconhecida,desconhecido,573.3,abastecer,sintetico
12.77,365.9,513.64,desconhecida,desconhecido,81.6,fazer_parada,sintetico
4.56,189.8,193.56,desconhecida,neutro,22.0,continuar,sintetico
15.43,422.6,528.3,desconhecida,cansado,422.6,descansar,sintetico
10.82,424.0,583.91,estrada,cansado,312.1,descansar,sintetico
21.18,378.2,371.8,restaurante,tenso,378.2,fazer_parada,sintetico
21.42,182.5,187.21,desconhecida,desconhecido,162.8,fazer_parada,sintetico
13.05,269.0,197.5,desconhecida,cansado,41.1,continuar,sintetico
9.73,390.8,520.16,desconhecida,desconhecido,235.8,abastecer,sintetico
18.94,113.5,71.92,desconhecida,animado,24.0,continuar,sintetico
15.59,9.8,7.2,desconhecida,cansado,9.8,continuar,sintetico
1.74,173.0,114.08,restaurante,cansado,108.5,descansar,sintetico
12.92,177.4,274.82,estrada,neutro,177.4,alimentar,sintetico
16.83,54.8,75.75,desconhecida,desconhecido,54.8,continuar,sintetico
19.29,141.7,149.68,restaurante,desconhecido,60.3,continuar,sintetico
6.93,89.8,79.53,desconhecida,bravo,11.4,continuar,sintetico
22.78,140.6,178.53,desconhecida,desconhecido,140.6,descansar,sintetico
10.08,275.7,371.14,estrada,desconhecido,73.0,continuar,sintetico
10.52,311.2,217.26,desconhecida,desconhecido,311.2,fazer_parada,sintetico
17.46,504.4,598.78,restaurante,cansado,504.4,descansar,sintetico
17.79,86.8,79.54,desconhecida,bravo,74.4,fazer_parada,sintetico
15.34,90.0,120.6,ponto_turistico,neutro,68.4,registrar_ponto_turistico,sintetico
20.19,200.6,216.94,ponto_turistico,desconhecido,102.1,registrar_ponto_turistico,sintetico
15.16,75.2,87.96,desconhecida,neutro,36.8,continuar,sintetico
14.54,161.0,226.01,estrada,tenso,79.7,fazer_parada,sintetico
13.21,546.6,784.79,restaurante,tenso,207.7,fazer_parada,sintetico
17.59,89.2,90.49,desconhecida,desconhecido,89.2,continuar,sintetico
16.57,22.4,34.18,estrada,desconhecido,6.7,continuar,sintetico
20.19,590.5,882.17,desconhecida,animado,491.8,abastecer,sintetico
